Common Name,Scientific Name
Black Heron,Egretta ardesiaca
Little Egret,Egretta garzetta
Western Reef Heron,Egretta gularis
Dimorphic Egret,Egretta dimorpha
White-tailed Tropicbird,Phaethon lepturus
Greater Frigatebird,Fregata minor
Lesser Frigatebird,Fregata ariel
Hamerkop,Scopus umbretta
Shoebill,Balaeniceps rex
Great White Pelican,Pelecanus onocrotalus
Pink-backed Pelican,Pelecanus rufescens
Masked Booby,Sula dactylatra
Red-footed Booby,Sula sula
Brown Booby,Sula leucogaster
Reed Cormorant,Phalacrocorax africanus
Great Cormorant,Phalacrocorax carbo
African Darter,Anhinga rufa
Pygmy Falcon,Polihierax semitorquatus
Lesser Kestrel,Falco naumanni
Common Kestrel,Falco tinnunculus
Greater Kestrel,Falco rupicoloides
Fox Kestrel,Falco alopex
Grey Kestrel,Falco ardosiaceus
Dickinson's Kestrel,Falco dickinsoni
Red-necked Falcon,Falco chiquera
Red-footed Falcon,Falco vespertinus
Amur Falcon,Falco amurensis
Eleonora's Falcon,Falco eleonorae
Sooty Falcon,Falco concolor
Eurasian Hobby,Falco subbuteo
African Hobby,Falco cuvieri
Lanner Falcon,Falco biarmicus
Saker Falcon,Falco cherrug
Peregrine Falcon,Falco peregrinus
Barbary Falcon,Falco pelegrinoides
Taita Falcon,Falco fasciinucha
Secretarybird,Sagittarius serpentarius
Osprey,Pandion haliaetus
African Cuckoo Hawk,Aviceda cuculoides
European Honey Buzzard,Pernis apivorus
Bat Hawk,Macheiramphus alcinus
African Black-shouldered Kite,Elanus caeruleus
African Swallow-tailed Kite,Chelictinia riocourii
Black Kite,Milvus migrans
African Fish Eagle,Haliaeetus vocifer
Palm-nut Vulture,Gypohierax angolensis
Lammergeier,Gypaetus barbatus
Egyptian Vulture,Neophron percnopterus
Hooded Vulture,Necrosyrtes monachus
White-backed Vulture,Gyps africanus
Rüppell's Vulture,Gyps rueppellii
White-headed Vulture,Trigonoceps occipitalis
Lappet-faced Vulture,Torgos tracheliotus
Short-toed Snake Eagle,Circaetus gallicus
Beaudouin's Snake Eagle,Circaetus beaudouini
Black-chested Snake Eagle,Circaetus pectoralis
Brown Snake Eagle,Circaetus cinereus
Southern Banded Snake Eagle,Circaetus fasciolatus
Western Banded Snake Eagle,Circaetus cinerascens
Bateleur,Terathopius ecaudatus
Western Marsh Harrier,Circus aeruginosus
African Marsh Harrier,Circus ranivorus
Pallid Harrier,Circus macrourus
Montagu's Harrier,Circus pygargus
African Harrier Hawk,Polyboroides typus
Dark Chanting Goshawk,Melierax metabates
Eastern Chanting Goshawk,Melierax poliopterus
Gabar Goshawk,Micronisus gabar
African Goshawk,Accipiter tachiro
Shikra,Accipiter badius
Levant Sparrowhawk,Accipiter brevipes
Little Sparrowhawk,Accipiter minullus
Ovambo Sparrowhawk,Accipiter ovampensis
Eurasian Sparrowhawk,Accipiter nisus
Rufous-breasted Sparrowhawk,Accipiter rufiventris
Great Sparrowhawk,Accipiter melanoleucus
Lizard Buzzard,Kaupifalco monogrammicus
Grasshopper Buzzard,Butastur rufipennis
Common Buzzard,Buteo buteo
Mountain Buzzard,Buteo oreophilus
Long-legged Buzzard,Buteo rufinus
Augur Buzzard,Buteo augur
Lesser Spotted Eagle,Aquila pomarina
Greater Spotted Eagle,Aquila clanga
Tawny Eagle,Aquila rapax
Steppe Eagle,Aquila nepalensis
Eastern Imperial Eagle,Aquila heliaca
Verreaux's Eagle,Aquila verreauxii
Wahlberg's Eagle,Aquila wahlbergi
African Hawk Eagle,Aquila spilogaster
Booted Eagle,Aquila pennata
Ayres's Hawk Eagle,Aquila ayresii
Martial Eagle,Polemaetus bellicosus
Long-crested Eagle,Lophaetus occipitalis
Cassin's Hawk Eagle,Spizaetus africanus
Crowned Eagle,Stephanoaetus coronatus
Arabian Bustard,Ardeotis arabs
Kori Bustard,Ardeotis kori
Denham's Bustard,Neotis denhami
Heuglin's Bustard,Neotis heuglinii
White-bellied Bustard,Eupodotis senegalensis
Buff-crested Bustard,Lophotis gindiana
Black-bellied Bustard,Lissotis melanogaster
Hartlaub's Bustard,Lissotis hartlaubii
White-spotted Flufftail,Sarothrura pulchra
Buff-spotted Flufftail,Sarothrura elegans
Red-chested Flufftail,Sarothrura rufa
Streaky-breasted Flufftail,Sarothrura boehmi
Striped Flufftail,Sarothrura affinis
African Water Rail,Rallus caerulescens
African Crake,Crex egregia
Corncrake,Crex crex
Black Crake,Amaurornis flavirostra
Baillon's Crake,Porzana pusilla
Spotted Crake,Porzana porzana
Striped Crake,Aenigmatolimnas marginalis
Purple Swamphen,Porphyrio porphyrio
Allen's Gallinule,Porphyrio alleni
Common Moorhen,Gallinula chloropus
Lesser Moorhen,Gallinula angulata
Red-knobbed Coot,Fulica cristata
African Finfoot,Podica senegalensis
Grey Crowned Crane,Balearica regulorum
Black Crowned Crane,Balearica pavonina
Demoiselle Crane,Anthropoides virgo
Common Crane,Grus grus
Common Buttonquail,Turnix sylvaticus
Black-rumped Buttonquail,Turnix hottentottus
Quailplover,Ortyxelos meiffrenii
Stone-curlew,Burhinus oedicnemus
Senegal Thick-knee,Burhinus senegalensis
Water Thick-knee,Burhinus vermiculatus
Spotted Thick-knee,Burhinus capensis
Eurasian Oystercatcher,Haematopus ostralegus
Crab-plover,Dromas ardeola
Black-winged Stilt,Himantopus himantopus
Pied Avocet,Recurvirostra avosetta
Northern Lapwing,Vanellus vanellus
Long-toed Plover,Vanellus crassirostris
Blacksmith Plover,Vanellus armatus
Spur-winged Plover,Vanellus spinosus
Black-headed Plover,Vanellus tectus
Senegal Plover,Vanellus lugubris
Black-winged Plover,Vanellus melanopterus
Crowned Plover,Vanellus coronatus
African Wattled Plover,Vanellus senegallus
Brown-chested Plover,Vanellus superciliosus
Pacific Golden Plover,Pluvialis fulva
Grey Plover,Pluvialis squatarola
Common Ringed Plover,Charadrius hiaticula
Little Ringed Plover,Charadrius dubius
Kittlitz's Plover,Charadrius pecuarius
Three-banded Plover,Charadrius tricollaris
White-fronted Plover,Charadrius marginatus
Kentish Plover,Charadrius alexandrinus
Chestnut-banded Plover,Charadrius pallidus
Lesser Sand Plover,Charadrius mongolus
Greater Sand Plover,Charadrius leschenaultii
Caspian Plover,Charadrius asiaticus
Greater Painted-snipe,Rostratula benghalensis
Lesser Jacana,Microparra capensis
African Jacana,Actophilornis africanus
Jack Snipe,Lymnocryptes minimus
Pintail Snipe,Gallinago stenura
African Snipe,Gallinago nigripennis
Great Snipe,Gallinago media
Common Snipe,Gallinago gallinago
Black-tailed Godwit,Limosa limosa
Bar-tailed Godwit,Limosa lapponica
Whimbrel,Numenius phaeopus
Eurasian Curlew,Numenius arquata
Spotted Redshank,Tringa erythropus
Common Redshank,Tringa totanus
Marsh Sandpiper,Tringa stagnatilis
Common Greenshank,Tringa nebularia
Green Sandpiper,Tringa ochropus
Wood Sandpiper,Tringa glareola
Terek Sandpiper,Xenus cinereus
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularius
Ruddy Turnstone,Arenaria interpres
Red Knot,Calidris canutus
Sanderling,Calidris alba
Red-necked Stint,Calidris ruficollis
Little Stint,Calidris minuta
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Pectoral Sandpiper,Calidris melanotos
Curlew Sandpiper,Calidris ferruginea
Dunlin,Calidris alpina
Broad-billed Sandpiper,Limicola falcinellus
Buff-breasted Sandpiper,Tryngites subruficollis
Ruff,Philomachus pugnax
Red-necked Phalarope,Phalaropus lobatus
Grey Phalarope,Phalaropus fulicarius
Egyptian Plover,Pluvianus aegyptius
Cream-coloured Courser,Cursorius cursor
Somali Courser,Cursorius somalensis
Temminck's Courser,Cursorius temminckii
Double-banded Courser,Rhinoptilus africanus
Heuglin's Courser,Rhinoptilus cinctus
Bronze-winged Courser,Rhinopterus chalcopterus
Collared Pratincole,Glareola pratincola
Black-winged Pratincole,Glareola nordmanni
Madagascar Pratincole,Glareola ocularis
Rock Pratincole,Glareola nuchalis
Sooty Gull,Larus hemprichii
Common Gull,Larus canus
Kelp Gull,Larus dominicanus
Lesser Black-backed Gull,Larus fuscus
Pallas's Gull,Larus ichthyaetus
Grey-headed Gull,Chroicocephaus cirrocephalus
Black-headed Gull,Chroicocephalus ridibundus
Slender-billed Gull,Chroicocephalus genei
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Lesser Crested Tern,Sterna bengalensis
Sandwich Tern,Sterna sandvicensis
Swift Tern,Sterna bergii
Roseate Tern,Sterna dougallii
Common Tern,Sterna hirundo
White-cheeked Tern,Sterna repressa
Little Tern,Sternula albifrons
Saunders's Tern,Sternula saundersi
Bridled Tern,Onychoprion anaethetus
Sooty Tern,Onychoprion fuscata
Whiskered Tern,Chlidonias hybrida
White-winged Black Tern,Chlidonias leucopterus
Black Tern,Chlidonias niger
Brown Noddy,Anous stolidus
Lesser Noddy,Anous tenuirostris
African Skimmer,Rhynchops flavirostris
Pomarine Skua,Stercorarius pomarinus
Arctic Skua,Stercorarius parasiticus
Long-tailed Skua,Stercorarius longicaudus
Chestnut-bellied Sandgrouse,Pterocles exustus
Yellow-throated Sandgrouse,Pterocles gutturalis
Black-faced Sandgrouse,Pterocles decoratus
Lichtenstein's Sandgrouse,Pterocles lichtensteinii
Four-banded Sandgrouse,Pterocles quadricinctus
Feral Pigeon,Columba livia
Speckled Pigeon,Columba guinea
African Olive Pigeon,Columba arquatrix
Eastern Bronze-naped Pigeon,Columba delegorguei
Lemon Dove,Aplopelia larvata
European Turtle Dove,Streptopelia turtur
Dusky Turtle Dove,Streptopelia lugens
African White-winged Dove,Streptopelia reichenowi
African Mourning Dove,Streptopelia decipiens
Red-eyed Dove,Streptopelia semitorquata
Ring-necked Dove,Streptopelia capicola
Laughing Dove,Streptopelia senegalensis
Emerald-spotted Wood Dove,Turtur chalcospilos
Blue-spotted Wood Dove,Turtur afer
Tambourine Dove,Turtur tympanistria
Namaqua Dove,Oena capensis
Bruce's Green Pigeon,Treron waalia
African Green Pigeon,Treron calvus
Red-headed Lovebird,Agapornis pullarius
Yellow-collared Lovebird,Agapornis personatus
Fischer's Lovebird,Agapornis fischeri
Hybrid Lovebird,Agapornis fischeri x personatus
Grey Parrot,Psittacus erithacus
Red-fronted Parrot,Poicephalus gulielmi
Meyer's Parrot,Poicephalus meyeri
Brown-headed Parrot,Poicephalus cryptoxanthus
African Orange-bellied Parrot,Poicephalus rufiventris
Great Blue Turaco,Corythaeola cristata
Schalow's Turaco,Tauraco schalowi
Black-billed Turaco,Tauraco schuetti
Fischer's Turaco,Tauraco fischeri
White-crested Turaco,Tauraco leucolophus
Hartlaub's Turaco,Tauraco hartlaubi
Purple-crested Turaco,Tauraco porphyreolophus
Ross's Turaco,Musophaga rossae
Bare-faced Go-away-bird,Corythaixoides personatus
White-bellied Go-away-bird,Corythaixoides leucogaster
Eastern Grey Plantain-eater,Crinifer zonurus
Jacobin Cuckoo,Clamator jacobinus
Levaillant's Cuckoo,Clamator levaillantii
Great Spotted Cuckoo,Clamator glandarius
Thick-billed Cuckoo,Pachycoccyx audeberti
Red-chested Cuckoo,Cuculus solitarius
Black Cuckoo,Cuculus clamosus
Common Cuckoo,Cuculus canorus
African Cuckoo,Cuculus gularis
Lesser Cuckoo,Cuculus poliocephalus
Madagascar Cuckoo,Cuculus rochii
Barred Long-tailed Cuckoo,Cercococcyx montanus
Klaas's Cuckoo,Chrysococcyx klaas
African Emerald Cuckoo,Chrysococcyx cupreus
Diederik Cuckoo,Chrysococcyx caprius
Yellowbill,Ceuthmochares aereus
Black Coucal,Centropus grillii
Blue-headed Coucal,Centropus monachus
Senegal Coucal,Centropus senegalensis
White-browed Coucal,Centropus superciliosus
Grass Owl,Tyto capensis
Barn Owl,Tyto alba
Sokoke Scops Owl,Otus ireneae
African Scops Owl,Otus senegalensis
Eurasian Scops Owl,Otus scops
Northern White-faced Scops Owl,Ptilopsis leucotis
Southern White-faced Scops Owl,Ptilopsis granti
Cape Eagle Owl,Bubo capensis
Spotted Eagle Owl,Bubo africanus
Greyish Eagle Owl,Bubo cinerascens
Verreaux's Eagle Owl,Bubo lacteus
Pel's Fishing Owl,Scotopelia peli
African Wood Owl,Strix woodfordii
Pearl-spotted Owlet,Glaucidium perlatum
Red-chested Owlet,Glaucidium tephronotum
African Barred Owlet,Glaucidium capense
Abyssinian Owl,Asio abyssinicus
Short-eared Owl,Asio flammeus
Marsh Owl,Asio capensis
Eurasian Nightjar,Caprimulgus europaeus
Dusky Nightjar,Caprimulgus fraenatus
Nubian Nightjar,Caprimulgus nubicus
Donaldson Smith's Nightjar,Caprimulgus donaldsoni
Fiery-necked Nightjar,Caprimulgus pectoralis
Montane Nightjar,Caprimulgus poliocephalus
Swamp Nightjar,Caprimulgus natalensis
Plain Nightjar,Caprimulgus inornatus
Star-spotted Nightjar,Caprimulgus stellatus
Freckled Nightjar,Caprimulgus tristigma
Long-tailed Nightjar,Caprimulgus climacurus
Slender-tailed Nightjar,Caprimulgus clarus
Gabon Nightjar,Caprimulgus fossii
Standard-winged Nightjar,Macrodipteryx longipennis
Pennant-winged Nightjar,Macrodipteryx vexillarius
Scarce Swift,Schoutedenapus myoptilus
Böhm's Spinetail,Neafrapus boehmi
Mottled Spinetail,Telecanthura ussheri
Sabine's Spinetail,Rhaphidura sabini
African Palm Swift,Cypsiurus parvus
Alpine Swift,Tachymarptis melba
Mottled Swift,Tachymarptis aequatorialis
Common Swift,Apus apus
Nyanza Swift,Apus niansae
African Black Swift,Apus barbatus
Forbes-Watson's Swift,Apus berliozi
Little Swift,Apus affinis
Horus Swift,Apus horus
White-rumped Swift,Apus caffer
Speckled Mousebird,Colius striatus
White-headed Mousebird,Colius leucocephalus
Blue-naped Mousebird,Urocolius macrourus
Narina Trogon,Apaloderma narina
Bar-tailed Trogon,Apaloderma vittatum
Rufous-crowned Roller,Coracias naevius
Lilac-breasted Roller,Coracias caudatus
Abyssinian Roller,Coracias abyssinicus
Eurasian Roller,Coracias garrulus
Broad-billed Roller,Eurystomus glaucurus
Grey-headed Kingfisher,Halcyon leucocephala
Brown-hooded Kingfisher,Halcyon albiventris
Striped Kingfisher,Halcyon chelicuti
Blue-breasted Kingfisher,Halcyon malimbica
Woodland Kingfisher,Halcyon senegalensis
Mangrove Kingfisher,Halcyon senegaloides
African Pygmy Kingfisher,Ceyx pictus
Malachite Kingfisher,Alcedo cristata
Shining-blue Kingfisher,Alcedo quadribrachys
Semi-collared Kingfisher,Alcedo semitorquata
Giant Kingfisher,Megaceryle maxima
Pied Kingfisher,Ceryle rudis
Blue-headed Bee-eater,Merops muelleri
Swallow-tailed Bee-eater,Merops hirundineus
Little Bee-eater,Merops pusillus
Blue-breasted Bee-eater,Merops variegatus
Cinnamon-chested Bee-eater,Merops oreobates
White-fronted Bee-eater,Merops bullockoides
Somali Bee-eater,Merops revoilii
White-throated Bee-eater,Merops albicollis
Blue-cheeked Bee-eater,Merops persicus
Madagascar Bee-eater,Merops superciliosus
Eurasian Bee-eater,Merops apiaster
Northern Carmine Bee-eater,Merops nubicus
Southern Carmine Bee-eater,Merops nubicoides
Hoopoe,Upupa epops
Forest Wood-hoopoe,Phoeniculus castaneiceps
White-headed Wood-hoopoe,Pheoniculus bollei
Green Wood-hoopoe,Pheoniculus purpureus
Black-billed Wood-hoopoe,Phoeniculus somaliensis
Violet Wood-hoopoe,Phoeniculus damarensis
Common Scimitarbill,Rhinopomastus cyanomelas
Abyssinian Scimitarbill,Rhinopomastus minor
Crowned Hornbill,Tockus alboterminatus
Hemprich's Hornbill,Tockus hemprichii
African Grey Hornbill,Tockus nasutus
Red-billed Hornbill,Tockus erythrorhynchus
Eastern Yellow-billed Hornbill,Tockus flavirostris
Von der Decken's Hornbill,Tockus deckeni
Jackson's Hornbill,Tockus jacksoni
Trumpeter Hornbill,Bycanistes bucanitor
Black-and-white Casqued Hornbill,Bycanistes subcylindricus
Silvery-cheeked Hornbill,Bycanistes brevis
Abyssinian Ground Hornbill,Bucorvus abyssinicus
Southern Ground Hornbill,Bucorvus leadbeteri
Grey-throated Barbet,Gymnobucco bonapartei
White-eared Barbet,Stactolaema leucotis
Green Barbet,Stactolaema olivacea
Speckled Tinkerbird,Pogoniulus scolopaceus
Green Tinkerbird,Pogoniulus simplex
Moustached Tinkerbird,Pogoniulus leucomystax
Yellow-rumped Tinkerbird,Pogoniulus bilineatus
Red-fronted Tinkerbird,Pogoniulus pusillus
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus
Yellow-spotted Barbet,Buccanodon duchaillui
Hairy-breasted Barbet,Tricholaema hirsuta
Red-fronted Barbet,Tricholaema diademata
Spot-flanked Barbet,Tricholaema lacrymosa
Black-throated Barbet,Tricholaema melanocephala
White-headed Barbet,Lybius leucocephalus
Black-billed Barbet,Lybius guifsobalito
Black-collared Barbet,Lybius torquatus
Brown-breasted Barbet,Lybius melanopterus
Double-toothed Barbet,Lybius bidentatus
Yellow-billed Barbet,Trachylaemus purpuratus
Red-and-yellow Barbet,Trachyphonus erythrocephalus
D'Arnaud's Barbet,Trachyphonus darnaudii
Cassin's Honeybird,Prodotiscus insignis
Green-backed Honeybird,Prodotiscus zambesiae
Wahlberg's Honeybird,Prodotiscus regulus
Pallid Honeyguide,Indicator meliphilus
Least Honeyguide,Indicator exilis
Lesser Honeyguide,Indicator minor
Scaly-throated Honeyguide,Indicator variegatus
Greater Honeyguide,Indicator indicator
Eurasian Wryneck,Jynx torquilla
Red-throated Wryneck,Jynx ruficollis
Nubian Woodpecker,Campethera nubica
Golden-tailed Woodpecker,Campethera abingoni
Mombasa Woodpecker,Campethera mombassica
Green-backed Woodpecker,Campethera cailliautii
Bennett's Woodpecker,Campethera bennetti
Fine-banded Woodpecker,Campethera tullbergi
Buff-spotted Woodpecker,Campethera nivosa
Brown-eared Woodpecker,Campethera caroli
Speckle-breasted Woodpecker,Dendropicos poecilolaemus
Cardinal Woodpecker,Dendropicos fuscescens
Bearded Woodpecker,Dendropicos namaquus
Yellow-crested Woodpecker,Dendropicos xantholophus
African Grey Woodpecker,Dendropicos goertae
Brown-backed Woodpecker,Picoides obsoletus
African Broadbill,Smithornis capensis
African Pitta,Pitta angolensis
Shrike Flycatcher,Megabyas flammulatus
Black-and-white Flycatcher,Bias musicus
Chestnut Wattle-eye,Dyaphorophyia castanea
Jameson's Wattle-eye,Dyaphorophyia jamesoni
Yellow-bellied Wattle-eye,Dyaphorophyia concreta
Forest Batis,Batis mixta
Chin-spot Batis,Batis molitor
Grey-headed Batis,Batis orientalis
Pale Batis,Batis soror
Black-headed Batis,Batis minor
Pygmy Batis,Batis perkeo
Brown-throated Wattle-eye,Platysteira cyanea
Black-throated Wattle-eye,Platysteira peltata
White-crested Helmetshrike,Prionops plumatus
Grey-crested Helmetshrike,Prionops poliolophus
Retz's Helmetshrike,Prionops retzii
Chestnut-fronted Helmetshrike,Prionops scopifrons
Grey-headed Bushshrike,Malaconotus blanchoti
Black-fronted Bushshrike,Chlorophoneus nigrifrons
Bocage's Bushshrike,Chlorophoneus bocagei
Sulphur-breasted Bushshrike,Chlorophoneus sulfureopectus
Gorgeous Bushshrike,Chlorophoneus viridis
Doherty's Bushshrike,Chlorophoneus dohertyi
Rosy-patched Bushshrike,Rhodophoneus cruentus
Marsh Tchagra,Tchagra minutus
Brown-crowned Tchagra,Tchagra australis
Three-streaked Tchagra,Tchagra jamesi
Black-crowned Tchagra,Tchagra senegalus
Pink-footed Puffback,Dryoscopus angolensis
Black-backed Puffback,Dryoscopus cubla
Pringle's Puffback,Dryoscopus pringlii
Northern Puffback,Dryoscopus gambensis
Sooty Bouobu,Laniarius leucorhynchus
Slate-coloured Boubou,Laniarius funebris
Lühder's Bushshrike,Laniarius luehderi
Red-naped Bushshrike,Laniarius ruficeps
Tropical Boubou,Laniarius aethopicus
Papyrus Gonolek,Laniarius mufumbiri
Black-headed Gonolek,Laniarius erythrogaster
Brubru,Nilaus afer
Grey Cuckooshrike,Coracina caesia
White-breasted Cuckooshrike,Coracina pectoralis
Black Cuckooshrike,Campephaga flava
Red-shouldered Cuckooshrike,Campephaga phoenicea
Petit's Cuckooshrike,Campephaga petiti
Purple-throated Cuckooshrike,Campephaga quiscalina
Yellow-billed Shrike,Corvinella corvina
Magpie Shrike,Urolestes melanoleucus
Northern White-crowned Shrike,Eurocephalus rueppelli
Red-backed Shrike,Lanius collurio
Isabelline Shrike,Lanius isabellinus
Mackinnon's Shrike,Lanius mackinnoni
Lesser Grey Shrike,Lanius minor
Southern Grey Shrike,Lanius meridionalis
Grey-backed Fiscal,Lanius excubitoroides
Long-tailed Fiscal,Lanius cabanisi
Taita Fiscal,Lanius dorsalis
Somali Fiscal,Lanius somalicus
Common Fiscal,Lanius collaris
Woodchat Shrike,Lanius senator
Masked Shrike,Lanius nubicus
Eurasian Golden Oriole,Oriolus oriolus
African Golden Oriole,Oriolus auratus
Green-headed Oriole,Oriolus chlorocephalus
Western Oriole,Oriolus brachyrhynchus
Montane Oriole,Oriolus percivali
Black-headed Oriole,Oriolus larvatus
Square-tailed Drongo,Dicrurus ludwigii
Common Drongo,Dicrurus adsimilis
Velvet-mantled Drongo,Dicrurus modestus
Blue-mantled Crested Flycatcher,Trochocercus cyanomelas
Little Yellow Flycatcher,Erythrocercus holochlorus
Red-bellied Paradise Flycatcher,Terpsiphone rufiventer
African Paradise Flycatcher,Terpsiphone viridis
African Blue Flycatcher,Elminia longicauda
Dusky Crested Flycatcher,Elminia nigromitrata
White-tailed Crested Flycatcher,Eliminia albonotata
Piapiac,Ptilostomus afer
House Crow,Corvus splendens
Cape Rook,Corvus capensis
Pied Crow,Corvus albus
Dwarf Raven,Corvus edithae
Fan-tailed Raven,Corvus rhipidurus
White-necked Raven,Corvus albicollis
Dusky Tit,Parus funereus
Northern Black Tit,Parus leucomelas
White-bellied Tit,Parus albiventris
Red-throated Tit,Parus fringillinus
Northern Grey Tit,Parus thruppi
Mouse-coloured Penduline Tit,Anthoscopus musculus
Grey Penduline Tit,Anthoscopus caroli
White-headed Saw-wing,Psalidoprocne albiceps
Black Saw-wing,Psalidoprocne pristoptera
Grey-rumped Swallow,Pseudhirundo griseopyga
Mascarene Martin,Phedina borbonica
Plain Martin,Riparia paludicola
Sand Martin,Riparia riparia
Banded Martin,Riparia cincta
Barn Swallow,Hirundo rustica
Angola Swallow,Hirundo angolensis
Ethiopian Swallow,Hirundo aethiopica
Wire-tailed Swallow,Hirundo smithii
Blue Swallow,Hirundo atrocaerulea
Rock Martin,Ptyonoprogne fuligula
Common House Martin,Delichon urbicum
Lesser Striped Swallow,Cecropis abyssinica
Rufous-chested Swallow,Cecropis semirufa
Mosque Swallow,Cecropis senegalensis
Red-rumped Swallow,Cecropis daurica
South African Cliff Swallow,Petrochelidon spilodera
Singing Bush Lark,Mirafra cantillans
White-tailed Lark,Mirafra albicauda
Williams's Lark,Mirafra williamsi
Friedmann's Lark,Mirafra pulpa
Rufous-naped Lark,Mirafra africana
Red-winged Lark,Mirafra hypermetra
Flappet Lark,Mirafra rufocinnamomea
Fawn-coloured Lark,Mirafra africanoides
Collared Lark,Mirafra collaris
Gillett's Lark,Mirafra gilletti
Pink-breasted Lark,Mirafra poecilosterna
Greater Short-toed Lark,Calandrella brachydactyla
Red-capped Lark,Calandrella cinerea
Somali Short-toed Lark,Calandrella somalica
Masked Lark,Spizocorys personata
Short-tailed Lark,Pseudalaemon fremantlii
Crested Lark,Galerida cristata
Thekla Lark,Galerida theklae
Chestnut-backed Sparrow Lark,Eremopterix leucotis
Chestnut-headed Sparrow Lark,Eremopterix signatus
Fischer's Sparrow Lark,Eremopterix leucopareia
Red-faced Cisticola,Cisticola erythrops
Singing Cisticola,Cisticola cantans
Whistling Cisticola,Cistocola lateralis
Trilling Cisticola,Cisticola woosnami
Chubb's Cisticola,Cisticola chubbi
Hunter's Cisticola,Cisticola hunteri
Rock-loving Cisticola,Cisticola aberrans
Rattling Cisticola,Cisticola chiniana
Boran Cisticola,Cisticola bodessa
Ashy Cisticola,Cisticola cinereolus
Tana River Cisticola,Cisticola restrictus
